호선,역,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2호선,신도림,"4,324",29,"39,131","5,504","61,928","20,789","154,310","47,273","157,646","115,379","93,975","77,648","64,138","54,969","61,858","56,834","68,597","58,153","68,477","64,484","70,189","63,438","72,784","71,886","81,483","85,173","108,073","115,666","129,004","177,964","70,398","123,896","56,004","76,246","54,188","72,743","48,844","70,529","23,207","48,097","2,889","20,555",14,"2,738",0,0,0,0,2025-08-03 10:00:47
2호선,문래,27,1,"4,722","3,006","16,805","12,093","47,704","45,993","54,608","148,962","28,654","71,169","21,068","29,005","21,283","25,253","25,086","27,715","26,619","28,291","28,160","26,702","30,060","28,215","38,843","33,477","73,335","45,661","123,569","72,446","45,097","45,696","32,987","24,579","34,208","21,718","30,895","19,293","13,554","10,839","2,509","3,797",1,105,0,0,0,0,2025-08-03 10:00:47
2호선,영등포구청,48,0,"5,461","3,209","14,860","14,462","44,333","45,275","55,598","137,923","33,222","61,727","24,199","29,585","25,626","25,806","27,763","26,475","28,648","29,450","29,695","26,431","33,371","27,597","39,936","31,236","65,406","42,267","113,655","65,690","41,092","42,736","31,432","25,010","28,145","22,564","20,558","20,985","9,633","13,374","1,785","4,894",3,116,0,0,0,0,2025-08-03 10:00:47
2호선,당산,40,5,"8,397","3,646","20,943","16,514","51,450","31,759","61,398","81,673","35,044","34,497","24,078","16,950","23,027","15,907","23,706","18,284","22,017","20,385","20,420","20,086","22,285","23,750","29,087","31,247","44,395","49,604","59,547","78,488","26,118","51,785","21,117","34,824","20,897","33,568","17,104","30,980","8,762","18,950","1,556","4,881",0,66,0,0,0,0,2025-08-03 10:00:47
2호선,합정,115,9,"10,762","3,174","18,252","14,310","43,080","34,170","54,098","103,804","34,915","92,510","27,363","55,787","31,619","52,721","37,098","54,890","41,966","62,166","44,940","55,645","49,289","57,279","59,723","68,483","81,734","88,781","123,512","122,123","79,813","81,380","68,763","45,000","74,525","37,542","71,851","33,792","37,258","22,728","6,611","8,873",1,94,0,0,0,0,2025-08-03 10:00:47
2호선,홍대입구,762,26,"25,683","3,664","30,880","18,257","64,137","44,224","84,065","118,154","63,630","143,556","59,277","124,370","70,486","148,981","81,653","174,371","98,091","186,345","109,220","176,215","133,782","176,196","162,389","181,755","191,635","206,823","222,299","244,599","187,686","175,462","191,376","112,842","212,431","92,523","201,800","78,387","97,781","52,909","13,209","18,610",6,"1,956",0,0,0,0,2025-08-03 10:00:47
2호선,신촌,50,3,"6,550","2,605","14,944","15,501","38,628","36,275","56,459","86,798","40,297","94,205","40,042","66,319","48,885","61,980","60,626","64,615","66,133","75,992","65,865","63,925","74,834","60,696","86,051","67,919","103,706","84,384","102,024","115,836","68,929","76,451","71,250","47,720","74,513","43,023","68,427","40,800","30,662","25,955","5,415","6,990",2,169,0,0,0,0,2025-08-03 10:00:47
2호선,이대,13,3,"3,538",936,"10,397","7,578","29,974","15,449","41,049","48,267","24,425","36,071","19,578","25,079","21,797","22,785","28,205","26,631","26,701","26,668","24,503","24,164","30,315","24,838","32,915","27,387","44,165","34,810","40,141","49,115","24,029","34,818","19,113","24,614","19,158","24,135","15,552","24,819","5,981","16,346",935,"4,742",0,71,0,0,0,0,2025-08-03 10:00:47
2호선,아현,10,0,"5,047","1,057","12,350","5,752","32,888","11,414","45,441","21,475","25,939","14,828","18,436","10,926","16,983","10,452","18,570","11,946","17,957","13,746","15,311","14,046","17,318","16,767","19,600","19,222","20,002","26,259","20,205","36,933","13,283","26,481","9,829","18,677","7,305","17,440","5,147","16,341","2,027","8,565",379,"2,716",1,8,0,0,0,0,2025-08-03 10:00:47
2호선,충정로(경기대입구),20,0,"3,553",990,"7,201","7,197","17,514","27,806","24,529","66,147","15,911","29,825","11,857","12,496","12,488","10,617","13,374","11,270","12,896","13,545","13,060","11,506","14,552","11,783","17,237","13,405","36,119","18,109","49,459","23,470","15,885","15,238","11,453","11,289","9,959","10,995","6,244","10,609","2,891","6,486",588,"1,992",0,33,0,0,0,0,2025-08-03 10:00:47
